site,year,month,day_frac_T4,day_frac_arh,logger,T4_mean,T4_absmax,T4_absmin,T4_meanmax,T4_meanmin,arh_sd,arh_cv,arh_med,arh_mean,arh_absmax,arh_absmin,T4_TDD,T4_GDD3,T4_GDD5,T4_FDD,T4_TDD_days,T4_GDD3_days,T4_GDD5_days,T4_FDD_days
15,2020,3,1,1,a,-2.68,11.7,-23.7,3.71,-10.74,11.7,0.16,77.1,75.1,98,30.2,25.23,12.29,0,-108.41,11,3,0,20
15,2020,4,1,1,a,0.6,14.9,-23.5,8.05,-7.56,8.23,0.12,68.8,69.8,97.2,26,47.15,26.95,10.59,-29.22,20,6,2,10
15,2020,5,1,1,a,7.67,23.9,-8.2,13.87,-0.58,11.61,0.18,59.7,63.3,96.4,22.7,237.75,233.04,213.7,0,31,29,24,0
15,2020,6,1,1,a,17.9,33.4,1.6,24.74,7.92,9.59,0.16,58.2,60.9,96.1,25.5,537.09,537.09,537.09,0,30,30,30,0
15,2020,7,1,1,a,15.79,29.6,5.1,21.62,8.59,9.09,0.12,73.2,75.4,97.6,30.5,489.55,489.55,489.55,0,31,31,31,0
15,2020,8,1,1,a,14.28,29.3,0,21.14,6.87,5.38,0.07,77.7,78.4,97.6,42.9,442.63,442.63,442.63,0,31,31,31,0
15,2020,9,1,1,a,9.59,22,-3.2,14.88,3.86,6.6,0.08,87.5,86.8,98.3,44,287.72,287.72,283.19,0,30,30,29,0
15,2020,10,0.7741935483870968,0.7741935483870968,a,5.36,15.5,-4.5,7.87,2.96,3.6,0.04,94.2,93.7,99.3,65.6,131.87,123.82,120.4,-3.32,22,14,13,2
19,2019,9,0.5666666666666667,0.5666666666666667,a,3.85,13.3,-5.2,8.56,-0.69,5.46,0.06,92.4,91.4,100,58.5,65.57,56.86,52.69,-0.11,16,9,8,1
19,2019,10,1,1,a,1.15,9.8,-6.3,3.3,-1.01,2.38,0.02,99.5,98.5,100,68.8,54.26,39.97,28.75,-18.52,19,7,4,12
