site,year,month,day_frac_T1,day_frac_T2,day_frac_T3,day_frac_moist,T1_mean,T1_absmax,T1_absmin,T1_meanmax,T1_meanmin,T2_mean,T2_absmax,T2_absmin,T2_meanmax,T2_meanmin,T3_mean,T3_absmax,T3_absmin,T3_meanmax,T3_meanmin,moist_sd,moist_cv,moist_med,moist_mean,moist_absmax,moist_absmin,T1_TDD,T1_GDD3,T1_GDD5,T1_FDD,T1_TDD_days,T1_GDD3_days,T1_GDD5_days,T1_FDD_days,T2_TDD,T2_GDD3,T2_GDD5,T2_FDD,T2_TDD_days,T2_GDD3_days,T2_GDD5_days,T2_FDD_days,T3_TDD,T3_GDD3,T3_GDD5,T3_FDD,T3_TDD_days,T3_GDD3_days,T3_GDD5_days,T3_FDD_days
3,2019,10,1,1,1,1,4.67,7.93,2.81,4.98,4.45,2,8.62,-2.62,3.37,0.74,0.94,9.08,-6.36,2.99,-1.1,1.49,0.05,28.1,28.6,39.9,24.7,144.81,141.95,51.74,0,31,30,9,0,67.5,43.98,26.03,-5.39,27,9,4,4,49.62,37.83,26.91,-20.54,17,7,4,14
3,2019,11,1,1,1,0.9333333333333333,2.04,2.81,0.06,2.12,1.89,-0.62,0.38,-3.88,-0.35,-0.98,-2.87,0.52,-17.55,-1.61,-4.52,2.72,0.1,26.5,27.1,34.4,23.7,61.34,0,0,0,30,0,0,0,1.22,0,0,-19.77,7,0,0,24,0.34,0,0,-86.39,2,0,0,28
3,2019,12,1,1,1,1,1.86,1.93,1.62,1.88,1.84,0.09,0.5,-0.88,0.19,-0,-1.02,-0.17,-4.17,-0.65,-1.44,1.49,0.06,25.6,25.5,29.1,23.1,57.63,0,0,0,31,0,0,0,6.5,0,0,-3.58,22,0,0,9,0,0,0,-31.58,0,0,0,31
3,2020,1,1,1,1,1,1.52,1.68,1.06,1.53,1.5,-0.05,0.38,-1.12,0.04,-0.17,-1.22,-0.17,-4.42,-0.84,-1.66,1.05,0.04,25,25,27.9,23.1,47.05,0,0,0,31,0,0,0,4.1,0,0,-5.72,18,0,0,13,0,0,0,-37.85,0,0,0,31
3,2020,2,1,1,1,0.3103448275862069,0.96,1.12,0.81,0.97,0.95,-0.39,0.12,-1.12,-0.31,-0.46,-1.29,-0.17,-3.8,-1.02,-1.55,1.52,0.06,25.3,24.8,26.7,22.7,27.89,0,0,0,29,0,0,0,0.14,0,0,-11.34,4,0,0,26,0,0,0,-37.46,0,0,0,29
3,2020,3,1,1,1,0,0.68,0.93,0.56,0.69,0.66,-0.43,-0.12,-1.38,-0.34,-0.51,-1.26,-0.17,-3.67,-0.88,-1.6,NA,NA,NA,NA,NA,NA,20.95,0,0,0,31,0,0,0,0,0,0,-13.27,0,0,0,31,0,0,0,-39.01,0,0,0,31
3,2020,4,1,1,1,0,0.62,0.68,0.18,0.64,0.6,-0.16,0,-0.5,-0.11,-0.21,-0.54,0.2,-2.48,-0.26,-0.93,NA,NA,NA,NA,NA,NA,18.61,0,0,0,30,0,0,0,0,0,0,-4.69,0,0,0,30,0,0,0,-16.15,0,0,0,30
3,2020,5,1,1,1,0.4838709677419355,2.05,5.31,0.56,2.26,1.86,3.8,16.75,-1.38,6.58,0.95,4.79,22.02,-3.98,9.59,-0.43,6,0.19,29.2,31.5,45.5,25.5,63.5,38.83,0,0,31,9,0,0,117.97,104.27,92.77,-0.08,29,14,11,4,149.43,133.98,118.62,-0.91,28,16,12,3
3,2020,6,1,1,1,1,8.03,12.49,4.87,8.56,7.57,13.82,24.88,3.88,18.4,8.85,15.86,30.08,2.58,22.39,8.54,1.68,0.07,22.3,22.6,40.9,19.9,240.83,240.83,240.83,0,30,30,30,0,414.61,414.61,414.61,0,30,30,30,0,475.73,475.73,475.73,0,30,30,30,0
3,2020,7,1,1,1,1,10.13,13.06,8.74,10.67,9.81,12.94,21.94,7.25,15.97,9.77,13.79,26.52,5.7,18.56,8.95,1.4,0.05,25.4,25.7,40.8,23.2,314.18,314.18,314.18,0,31,31,31,0,401.24,401.24,401.24,0,31,31,31,0,427.59,427.59,427.59,0,31,31,31,0
3,2020,8,1,1,1,1,10.71,12.68,9.18,11.1,10.4,12.54,20.94,3.56,16.12,9.25,13.05,25.33,0.08,18.84,7.9,1.45,0.06,25.4,25.3,34.3,22.6,332.05,332.05,332.05,0,31,31,31,0,388.82,388.82,388.82,0,31,31,31,0,404.57,404.57,404.57,0,31,31,31,0
3,2020,9,1,1,1,1,8.67,10.62,6.81,8.94,8.44,8.83,16.25,1.5,11.29,6.44,8.79,21.08,-1.86,13.1,4.89,2.25,0.09,26.2,26.4,43,22.8,260.18,260.18,260.18,0,30,30,30,0,264.81,264.81,259.89,0,30,30,29,0,263.58,263.58,254.88,0,30,30,28,0
3,2020,10,1,1,1,1,6.43,9.31,3.56,6.64,6.24,5.1,11.12,-0.38,6.13,4.08,4.39,12.7,-4.42,6.06,2.62,1.62,0.06,27,27.3,39.4,24.6,199.25,199.25,156.55,0,31,31,21,0,158,143.56,132.27,0,31,19,16,0,144.53,138.32,127.04,-8.55,22,18,15,9
3,2020,11,1,1,1,1,3.69,5.37,2.56,3.84,3.55,1.32,7.81,-2.12,2.16,0.38,0.17,8.7,-8.92,1.85,-1.7,2.64,0.09,28.3,28.9,37.9,25.8,110.75,91.58,15.34,0,30,23,3,0,44.03,27.61,11.29,-4.37,22,6,2,8,36.3,27.42,16.79,-31.14,15,6,3,15
3,2020,12,1,1,1,1,1.78,2.56,1.24,1.81,1.75,-0.8,0.44,-3.38,-0.53,-1.13,-3.09,1.08,-9.3,-1.85,-4.49,1.72,0.07,26.3,26.1,29.7,23.5,55.14,0,0,0,31,0,0,0,0.62,0,0,-25.27,3,0,0,28,1.08,0,0,-96.99,3,0,0,28
3,2021,1,1,1,1,0.25806451612903225,0.25,1.43,-0.57,0.29,0.21,-1.74,-0.12,-7,-1.48,-2.01,-4.15,-0.42,-15.73,-3.4,-4.95,0.77,0.03,24.6,24.3,25,22.9,13.86,0,0,-5.98,13,0,0,18,0,0,0,-53.98,0,0,0,31,0,0,0,-128.55,0,0,0,31
3,2021,2,1,1,1,0,-0.29,-0.13,-0.44,-0.27,-0.3,-1.44,-0.12,-2.5,-1.32,-1.57,-3.07,-0.23,-5.42,-2.78,-3.34,NA,NA,NA,NA,NA,NA,0,0,0,-8.01,0,0,0,28,0,0,0,-40.34,0,0,0,28,0,0,0,-86.09,0,0,0,28
